Nome Científico,Nome Popular,Valor,Sexo,Quantidade,Grupo,Ano Indivíduo 1,Mutação Indivíduo 1,Portador Indivíduo 1,Ano Indivíduo 2,Mutação Indivíduo 2,Portador Indivíduo 2,Nome Produto Sistema,Nome Tabela Impresso,Mutação 1,Mutaçã 2
Psittacula krameri,Ringneck,"R$ 2.750,00",Casal,1,Normais,2015,Turquesa Cinza,,2012,Albino,,Casal Ringneck Macho Turquesa Cinza 2015 X Fêmea Albino 2012,Casal: Macho Turquesa Cinza 2015 X Fêmea Albino 2012,Ringneck Turquesa Cinza,Ringneck Albino
Psittacula krameri,Ringneck,"R$ 2.700,00",Casal,1,Normais,2014,Turquesa Azul,/?canela,2013,Cinza,,Casal Ringneck Macho Turquesa Azul/?canela 2014 X Fêmea Cinza 2013,Casal: Macho Turquesa Azul/?canela 2014 X Fêmea Cinza 2013,Ringneck Turquesa Azul,Ringneck Cinza
Psittacula krameri,Ringneck,"R$ 2.700,00",Casal,1,Cleartails,2007,Cleartail Turquesa Cinza,,2007,Azul,,Casal Ringneck Macho Cleartail Turquesa Cinza 2007 X Fêmea Azul 2007,Casal: Macho Cleartail Turquesa Cinza 2007 X Fêmea Azul 2007,Ringneck Cleartail Turquesa Cinza,Ringneck Azul
Psittacula krameri,Ringneck,"R$ 2.800,00",Casal,1,Inos,2014,Azul,/?ino/?canela,2012,Turquesa Cinza,,Casal Ringneck Macho Azul/?ino/?canela 2014 X Fêmea Turquesa Cinza 2012,Casal: Macho Azul/?ino/?canela 2014 X Fêmea Turquesa Cinza 2012,Ringneck Azul,Ringneck Turquesa Cinza
Psittacula krameri,Ringneck,"R$ 5.700,00",Casal,1,Pallids,2015,Pallidino Verde,,2011,Pallid Verde,/azul,Casal Ringneck Macho Pallidino Verde 2015 X Fêmea Pallid Verde/azul 2011,Casal: Macho Pallidino Verde 2015 X Fêmea Pallid Verde/azul 2011,Ringneck Pallidino Verde,Ringneck Pallid Verde
Psittacula krameri,Ringneck,"R$ 3.250,00",Casal,1,Canelas,2014,Turquesa Skyblue,,2013,Cinza,,Casal Ringneck Macho Turquesa Skyblue 2014 X Fêmea Cinza 2013,Casal: Macho Turquesa Skyblue 2014 X Fêmea Cinza 2013,Ringneck Turquesa Skyblue,Ringneck Cinza
Psittacula krameri,Ringneck,"R$ 5.350,00",Casal,1,Canelas,2013,Skyblue,,2011,Cobalto Turquesa,,Casal Ringneck Macho Skyblue 2013 X Fêmea Cobalto Turquesa 2011,Casal: Macho Skyblue 2013 X Fêmea Cobalto Turquesa 2011,Ringneck Skyblue,Ringneck Cobalto Turquesa
Psittacula krameri,Ringneck,"R$ 3.250,00",Casal,1,Canelas,2015,Silver,,2015,Skyblue,,Casal Ringneck Macho Silver 2015 X Fêmea Skyblue 2015,Casal: Macho Silver 2015 X Fêmea Skyblue 2015,Ringneck Silver,Ringneck Skyblue
Psittacula krameri,Ringneck,"R$ 3.250,00",Casal,1,Canelas,2014,Turquesa Skyblue,,2015,Skyblue,,Casal Ringneck Macho Turquesa Skyblue 2014 X Fêmea Skyblue 2015,Casal: Macho Turquesa Skyblue 2014 X Fêmea Skyblue 2015,Ringneck Turquesa Skyblue,Ringneck Skyblue
Psittacula krameri,Ringneck,"R$ 2.800,00",Casal,1,Canelas,2014,Canela Verde Cinza,/?azul,2014,Skyblue,,Casal Ringneck Macho Canela Verde Cinza/?azul 2014 X Fêmea Skyblue 2014,Casal: Macho Canela Verde Cinza/?azul 2014 X Fêmea Skyblue 2014,Ringneck Canela Verde Cinza,Ringneck Skyblue
Psittacula krameri,Ringneck,"R$ 3.100,00",Casal,1,Canelas,2012,Cinza,/canela,2015,Turquesa Skyblue,,Casal Ringneck Macho Cinza/canela 2012 X Fêmea Turquesa Skyblue 2015,Casal: Macho Cinza/canela 2012 X Fêmea Turquesa Skyblue 2015,Ringneck Cinza,Ringneck Turquesa Skyblue
Psittacula krameri,Ringneck,"R$ 3.350,00",Casal,1,Canelas,2014,Azul,/canela,2015,Turquesa Silver,,Casal Ringneck Macho Azul/canela 2014 X Fêmea Turquesa Silver 2015,Casal: Macho Azul/canela 2014 X Fêmea Turquesa Silver 2015,Ringneck Azul,Ringneck Turquesa Silver
